6802|0.000000000|0.000000000|111.400000000
6802|0.000000000|0.000000000|111.400000000
6802|0.000000000|0.000000000|111.400000000
02TG1515SLA|-163.237885321|0.000000000|0.000000000
6802|0.000000000|0.000000000|111.400000000
6802|0.000000000|0.000000000|111.400000000
02TJKPG11SSLB|0.000000000|0.000000000|152.980000000
02TG1515SLA|-163.237885321|0.000000000|0.000000000
OIL_SEAL-36-A_1|0.000000000|99.950000000|0.000000000
OIL_SEAL-36-B_1|0.000000000|79.950000000|0.000000000
15267|-187.000000000|0.000000000|0.000000000
02TG1515SLA|-163.237885321|0.000000000|0.000000000
02CG2917B|-0.000000000|0.000000000|222.000000000
03O1701A|0.000000000|0.000000000|-45.800000000
03O1701A|0.000000000|0.000000000|-45.800000000
